[2026-02-13 19:39:36.444415] Spot Status: FREE
[2026-02-13 19:39:38.515515] Spot Status: FREE
[2026-02-13 19:39:40.501308] Spot Status: OCCUPIED
[2026-02-13 19:39:42.530601] Spot Status: OCCUPIED
[2026-02-13 19:39:44.525151] Spot Status: OCCUPIED
[2026-02-13 19:39:46.580498] Spot Status: FREE
[2026-02-13 19:39:48.698976] Spot Status: FREE
[2026-02-13 19:39:50.726597] Spot Status: FREE
[2026-02-13 19:39:52.801658] Spot Status: FREE
[2026-02-13 19:39:54.873456] Spot Status: FREE
[2026-02-13 19:39:56.945794] Spot Status: FREE
[2026-02-13 19:39:59.022122] Spot Status: FREE
[2026-02-13 19:40:01.092914] Spot Status: FREE
[2026-02-13 19:40:03.166120] Spot Status: FREE
[2026-02-13 19:40:05.240076] Spot Status: FREE
[2026-02-13 19:40:07.312038] Spot Status: FREE
[2026-02-13 19:40:09.385142] Spot Status: FREE
[2026-02-13 19:40:11.470338] Spot Status: FREE
[2026-02-13 19:40:13.531265] Spot Status: FREE
[2026-02-13 19:40:15.604780] Spot Status: FREE
[2026-02-13 19:40:17.678382] Spot Status: FREE
[2026-02-13 19:40:19.753852] Spot Status: FREE
[2026-02-13 19:40:21.824216] Spot Status: FREE
[2026-02-13 19:40:23.914740] Spot Status: FREE
[2026-02-13 19:40:25.970438] Spot Status: FREE
[2026-02-13 19:40:28.082720] Spot Status: FREE
[2026-02-13 19:40:30.117484] Spot Status: FREE
[2026-02-13 19:40:32.189533] Spot Status: FREE
[2026-02-13 19:40:34.484962] Spot Status: FREE
[2026-02-13 19:40:36.336817] Spot Status: FREE
[2026-02-13 19:40:38.409521] Spot Status: FREE
2026-02-14 01:07:38.295300 | parking/spot1/status | FREE
2026-02-14 01:07:38.302373 | parking/spot1/type | NONE
2026-02-14 01:07:38.303222 | parking/co2 | 135
2026-02-14 01:07:39.360931 | parking/spot1/status | FREE
2026-02-14 01:07:39.370732 | parking/spot1/type | NONE
2026-02-14 01:07:39.371574 | parking/co2 | 0
2026-02-14 01:07:40.409706 | parking/spot1/status | FREE
2026-02-14 01:07:40.418857 | parking/spot1/type | NONE
2026-02-14 01:07:40.419731 | parking/co2 | 56
2026-02-14 01:07:41.467491 | parking/spot1/status | FREE
2026-02-14 01:07:41.477586 | parking/spot1/type | NONE
2026-02-14 01:07:41.478334 | parking/co2 | 0
2026-02-14 01:07:42.525977 | parking/spot1/status | FREE
2026-02-14 01:07:42.534638 | parking/spot1/type | NONE
2026-02-14 01:07:42.535483 | parking/co2 | 54
2026-02-14 01:07:43.580635 | parking/spot1/status | FREE
2026-02-14 01:07:43.591935 | parking/spot1/type | NONE
2026-02-14 01:07:43.592784 | parking/co2 | 1
2026-02-14 01:07:44.637112 | parking/spot1/status | FREE
2026-02-14 01:07:44.644665 | parking/spot1/type | NONE
2026-02-14 01:07:44.645511 | parking/co2 | 2
2026-02-14 01:07:45.691293 | parking/spot1/status | FREE
2026-02-14 01:07:45.770263 | parking/spot1/type | NONE
2026-02-14 01:07:45.771118 | parking/co2 | 50
2026-02-14 01:07:46.755230 | parking/spot1/status | FREE
2026-02-14 01:07:46.772311 | parking/spot1/type | NONE
2026-02-14 01:07:46.773177 | parking/co2 | 114
2026-02-14 01:07:47.810346 | parking/spot1/status | FREE
2026-02-14 01:07:47.822879 | parking/spot1/type | NONE
2026-02-14 01:07:47.823734 | parking/co2 | 142
2026-02-14 01:07:48.867688 | parking/spot1/status | FREE
2026-02-14 01:07:48.880807 | parking/spot1/type | NONE
2026-02-14 01:07:48.881655 | parking/co2 | 127
2026-02-14 01:07:49.929258 | parking/spot1/status | FREE
2026-02-14 01:07:49.947346 | parking/spot1/type | NONE
2026-02-14 01:07:49.948196 | parking/co2 | 152
2026-02-14 01:07:50.981589 | parking/spot1/status | FREE
2026-02-14 01:07:51.019979 | parking/spot1/type | NONE
2026-02-14 01:07:51.023413 | parking/co2 | 48
2026-02-14 01:07:52.038291 | parking/spot1/status | FREE
2026-02-14 01:07:52.049736 | parking/spot1/type | NONE
2026-02-14 01:07:52.050604 | parking/co2 | 5
2026-02-14 01:07:53.095230 | parking/spot1/status | FREE
2026-02-14 01:07:53.105672 | parking/spot1/type | NONE
2026-02-14 01:07:53.106514 | parking/co2 | 107
2026-02-14 01:07:54.159492 | parking/spot1/status | FREE
2026-02-14 01:07:54.181115 | parking/spot1/type | NONE
2026-02-14 01:07:54.181972 | parking/co2 | 94
2026-02-14 01:07:55.209357 | parking/spot1/status | FREE
2026-02-14 01:07:55.214351 | parking/spot1/type | NONE
2026-02-14 01:07:55.215133 | parking/co2 | 131
2026-02-14 01:07:56.265858 | parking/spot1/status | FREE
2026-02-14 01:07:56.283261 | parking/spot1/type | NONE
2026-02-14 01:07:56.284113 | parking/co2 | 0
